"_id","measuretime","topic","payload.value","payload.value_units","payload.input","payload.subID","payload.unitID"
"ObjectId(""60606b985ebb635c20b5d719"")","2021-03-28T11:42:16.000Z","irit2/366/co2",353,"ppm",105,"ilot1","inside"
"ObjectId(""60606b995ebb635c20b5d71a"")","2021-03-28T11:42:17.000Z","u4/301/luminosity",1000,"lux",100,"ilot1","inside"
"ObjectId(""60606b995ebb635c20b5d71b"")","2021-03-28T11:42:17.000Z","u4/301/luminosity",413,"lux",105,"ilot2","inside"
"ObjectId(""60606b995ebb635c20b5d71c"")","2021-03-28T11:42:17.000Z","u4/301/luminosity",721,"lux",110,"ilot3","inside"
"ObjectId(""60606b995ebb635c20b5d71d"")","2021-03-28T11:42:17.000Z","irit2/366/temperature",24.375,"celsius",,"24","auto_adc7"
"ObjectId(""60606b9b5ebb635c20b5d71e"")","2021-03-28T11:42:19.000Z","bu/hall/luminosity",58,"lux",,"57","auto_d771"
"ObjectId(""60606b9c5ebb635c20b5d71f"")","2021-03-28T11:42:20.000Z","bu/068/luminosity",82,"lux",,"57","auto_55a9"
"ObjectId(""60606b9d5ebb635c20b5d720"")","2021-03-28T11:42:21.000Z","irit2/160/luminosity",0,"lux",,"57","auto_1b73"
"ObjectId(""60606b9d5ebb635c20b5d721"")","2021-03-28T11:42:21.000Z","irit2/366/luminosity",1,"lux",106,"ilot1","inside"
"ObjectId(""60606b9d5ebb635c20b5d722"")","2021-03-28T11:42:21.000Z","u4/300/energy","[0.58,0,33860.33,31.82,31.7,0]","[""m3/hr"",""kW"",""kWh"",""hot_degresC"",""cold_degresC"",""diff_degresC""]",1,"heaters","modbus_rs485"
"ObjectId(""60606b9e5ebb635c20b5d723"")","2021-03-28T11:42:22.000Z","u4/300/energy","[2700436,2700430,233.75,0,0,0,0,0]","[""Wh"",""Ea+"",""V"",""A"",""W"",""VAR"",""VA"",""cosPhi""]",79,"lighting","modbus_rs485"
"ObjectId(""60606b9e5ebb635c20b5d724"")","2021-03-28T11:42:22.000Z","irit2/460/temperature",21.75218,"celsius",,"64","auto_ea9c"
"ObjectId(""60606b9e5ebb635c20b5d725"")","2021-03-28T11:42:22.000Z","irit2/460/humidity",37,"%r.H.",,"64","auto_ea9c"
"ObjectId(""60606b9f5ebb635c20b5d726"")","2021-03-28T11:42:23.000Z","u4/302/luminosity",994,"lux",100,"ilot1","inside"
"ObjectId(""60606b9f5ebb635c20b5d727"")","2021-03-28T11:42:23.000Z","u4/302/luminosity",74,"lux",105,"ilot2","inside"
"ObjectId(""60606b9f5ebb635c20b5d728"")","2021-03-28T11:42:23.000Z","u4/302/luminosity",191,"lux",110,"ilot3","inside"
"ObjectId(""60606ba05ebb635c20b5d729"")","2021-03-28T11:42:24.000Z","bu/tour_8etg/temperature",26.625,"celsius",,"31","auto_a13a"
"ObjectId(""60606ba05ebb635c20b5d72a"")","2021-03-28T11:42:24.000Z","bu/tour_8etg/temperature",26.6321,"celsius",,"64","auto_a13a"
